Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
Subgrade Strengthening km 1240 Alaska Highway,JACMILL ACRES,"$11,341.80",2012-08-01,C00014757,1,,,Highways & Public Works,Service,Value Driven,Teslin,D,2012-13
Subgrade Strengthening km 1240 Alaska Highway,JACMILL ACRES,"-$6,763.45",2012-08-01,C00014757,2,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2012-13
Coordinator Services,LIARD FIRST NATION DEVELOPMENT,"$32,103.70",2012-04-01,C00014758,Original,,,"Energy, Mines & Resources",Service,Value Driven,Faro,D,2012-13
Provide garbage removal at various Whitehorse locations.,TLE NAX T AWEI INC O/A,"$49,877.68",2012-08-01,C00014759,Original,,,Highways & Public Works,Service,Request for Bids,Whitehorse,I,2012-13
Five Finger Rapids Stairway - Carmacks,8090 YUKON LTD,"$24,373.97",2012-09-04,C00015311,1,,,Highways & Public Works,Construction,Price Driven,Carmacks,P,2012-13
Five Finger Rapids Stairway - Carmacks,8090 YUKON LTD,"$37,417.00",2012-09-04,C00015311,2,,,Highways & Public Works,Construction,Price Driven,Carmacks,P,2012-13
GO Media tours,PILOT VENTURES LTD O/A,"$1,486.00",2012-06-03,C00015312,Original,,,Tourism And Culture,Aircraft Charter,Price Driven,Whitehorse,D,2012-13
Notifier Fire Alarm Panel Maintenance,VIPOND INC,"$8,000.00",2012-09-17,C00015314,Original,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2012-13
Thinhorn Sheep: Yukon Guidelines Review,SYNERGY APPLIED ECOLOGY,"$1,000.00",2012-09-01,C00015378,Original,,,Environment,Service,Value Driven,Whitehorse,D,2012-13
2012 Municipal Gala Event,NORTHERN VISION DEVELOPMENT,"$4,270.16",2012-09-14,C00015380,Original,,,Community Services,Service,Price Driven,Whitehorse,D,2012-13
Provide transcription services to the Yukon Coroner's Office,DOUG AYERS O/A,"$12,000.00",2012-10-15,C00015381,Original,,,Justice,Service,Value Driven,Whitehorse,D,2012-13
Provide transcription services to the Yukon Coroner's Office,DOUG AYERS O/A,"$5,000.00",2012-10-15,C00015381,1,,,Justice,Service,Value Driven,Whitehorse,D,2012-13
Whitehorse Wharf - Design-Build of Final Landscaping,ADORNA FLOWERS & LANDSCAPING,"$408,700.00",2012-09-05,C00015382,Original,,,Community Services,Construction,Price Driven,Whitehorse,I,2012-13
"Chattel move - Vancouver BC to Whitehorse, YT",MATCO TRANSPORTATION SYSTEMS,"$11,500.00",2012-09-05,C00015227,Original,,,Public Service Commission,Service,Price Driven,Other-Non Yukon,I,2012-13
Inspection & Quality Control Services for Aggregate Prod.,EBA ENGINEERING,"$247,990.00",2012-09-05,C00015228,Original,,,Highways & Public Works,Service,Value Driven,Other,P,2012-13
Inspection & Quality Control Services for Aggregate Prod.,EBA ENGINEERING,$0.00,2012-09-05,C00015228,1,,,Highways & Public Works,Service,Value Driven,Other,P,2012-13
Drainage Ditch Construction,BEAR CREEK LOGGING INC,"$9,885.00",2012-09-17,C00015315,Original,,,Community Services,Service,Price Driven,Haines Junction,P,2012-13
"Tape, mud and paint offices area at 113 Industrial Road",BOB WILLIAMS O/A,"$5,800.00",2012-09-07,C00015316,Original,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2012-13
Install stairs and landing at 113 Industrial Road,HENRY BAUERNFEIND,"$2,600.00",2012-09-10,C00015317,Original,,,Highways & Public Works,Service,Value Driven,Whitehorse,D,2012-13
QA/QC Services for Town of Watson Lake Sewer/Watermain,42256 YUKON INC O/A,"$12,567.20",2012-09-12,C00015318,Original,,121305,Community Services,Service,Value Driven,Watson Lake,P,2012-13
Translation of YG documents,MARIE-HELENE LATTARO,$195.73,2012-09-12,C00015319,Original,,2010-11-001,Highways & Public Works,Service,Value Driven,Other-Non Yukon,P,2012-13
Translation of YG documents,MARIE-HELENE LATTARO,$69.00,2012-09-12,C00015319,1,,2010-11-001,Highways & Public Works,Service,Value Driven,Other-Non Yukon,P,2012-13
Instrumentation installation,EBA ENGINEERING,"$50,100.00",2012-09-10,C00015320,Original,,AAMB-11-001-EBA,"Energy, Mines & Resources",General Consulting,Value Driven,Other,P,2012-13
