Contract Description,Vendor Name,Amount,Start Date,Contract No.,C.O. No.,Line No,SOA No.,Department,Contract Type,Tender Class,Community,Type,Fiscal Year
"695000349 HEAD, TRIMMER 14915/062129/61288/16 MP STEWART",CDYKHONDA,$19.00,2012-08-13,172267,,17,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"BEARING, PILLOW BLOCK",QUALITY BEARING SUPPLY LTD    ,$31.00,2012-08-14,172275,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
0R3418 INJECTOR 13392/T21015/6 JS DAWSON,FINNING INTERNATIONAL INC     ,$125.00,2012-08-15,172284,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
USED 14.00R24 CASINGS 14479/T/S/KC,YUKON TIRE CENTRE INC         ,"$1,400.00",2012-08-16,172287,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
15758172 LH REAR DOOR HANDLE 17372/T20538/1A,KLONDIKE MOTORS INC O/A       ,$63.00,2012-10-05,172732,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
15745156 PLASTIC SKID PLATE 17284/46133/062140/1A,KLONDIKE MOTORS INC O/A       ,$64.00,2012-10-05,172732,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
N52-150 1-1/2 PUNCH CLAMP 70860/CAMP/10,CDYKPUMP,$4.00,2012-10-09,172733,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,D,2012-13
DW1265 WINDSHIELD SUPPLY & INSTALL 17621/42100/062377/1A INV # 2870,JODY SHEA O/A                 ,$345.00,2012-11-09,173132,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"80822 PIN, BEARING 15522/T23180/6 HM DAWSON",INLAND KENWORTH               ,$228.00,2012-11-09,173139,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
C3309X2 FTG. 18020/99002/1T,UAP INC                       ,$13.00,2012-11-14,173151,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
C5515X8 FTG. 18019/99002/1T,UAP INC                       ,$20.00,2012-11-14,173151,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
CPM420L BRAKLEEN 12026/062398/1A,WHITEHORSE MOTORS LIMITED     ,$174.00,2012-11-19,173156,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"BLADE, 20"" ACCU FIT WIPER HOOK TYPE",UAP INC                       ,$112.00,2013-01-02,173650,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"WIRE,AUTO 2X14 GA,PVC COVERED (100'ROLL)",UAP INC                       ,$32.00,2013-01-02,173652,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
CAPSCREW BRASS,INLAND KENWORTH               ,$72.00,2013-01-02,173659,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
195-10 CONNECTOR 11241/SHOP/1T,AJAX STEEL LIMITED            ,$6.00,2012-08-21,172305,,16,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"PFB 1PL 1"" PIPE PLUG 18035/99000/1T",CDNIS,$30.00,2012-08-22,172331,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"LEV-5372 RECEPTICAL, 30A/250V *P1* 15175/CAMP/13 TK OGILVIE",EECOL ELECTRIC CORP           ,$18.00,2012-10-05,172740,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
ROCK CHIP REPAIR AS PER INV # 2797 17345/46191/062151/1A,JODY SHEA O/A                 ,$70.00,2012-10-10,172744,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
YTG TIRE TAX 17372/T20538/1A,YUKON TIRE CENTRE INC         ,$10.00,2012-10-09,172747,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, AIR COMP G B",UAP INC                       ,$9.00,2012-10-09,172759,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
550026711 C5 OIL ISO32 HYD.. 06676/99001/15,UAP INC                       ,$150.00,2013-01-02,173667,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
23-1707PK TIE WRAPS 11563/99000/1T,AJAX STEEL LIMITED            ,$14.00,2013-01-03,173677,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
FREIGHT FOR LINE 4 5206/T23188/24,INLAND KENWORTH               ,$150.00,2013-01-03,173679,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
MMM18736 DISC 11560/99000/TR,CDACKLANDSWH,$48.00,2013-01-03,173683,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
CS25-A1006-H3BX PTO 15944/061805/VGFN003/25 RG OLD CROW,INLAND KENWORTH               ,"$1,396.00",2013-01-03,173685,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
EC277 HEADLAMP CONNECTORS 17647/OSS/062688/1A,UAP INC                       ,$14.00,2013-01-07,173694,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
FLANGE BEARING ASSEMBLY,QUALITY BEARING SUPPLY LTD    ,$240.00,2012-08-22,172333,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
5J-100 FLANGE 15263/T60800/6 TC DAWSON,QUALITY BEARING SUPPLY LTD    ,$96.00,2012-08-24,172353,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
5J-E COUPLER 15263/T60800/6 TC DAWSON,QUALITY BEARING SUPPLY LTD    ,$38.00,2012-08-24,172353,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
10365308 FRONT ALUM SKID PLATE 17255/46119/061792/1A,KLONDIKE MOTORS INC O/A       ,$195.00,2012-08-24,172357,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"SENSOR, ENGINE POSITION, FOUR WIRE DO NOT REORDER",INLAND KENWORTH               ,$56.00,2012-10-09,172769,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
60-17803B GLOVES 11552/99000/TR,CDNIS,$90.00,2012-12-03,172780,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
2210L7552 CAM 14551/T11258/1HD,DON COX ENTERPRISES LTD O/A   ,$112.00,2012-10-11,172781,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"YUC1U0292 EDGE, CUTTING 13846/CAMP/6 DT DAWSON",CDNIS,$674.00,2012-10-11,172782,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"87022 BEARING, DURAMIDE 15525/T23180/6 HM DAWSON",INLAND KENWORTH               ,$357.00,2012-11-16,173211,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
SDN30C-16 CABLE 14394/T52804/1C,GUILLEVIN INTERNATIONAL       ,"$4,148.00",2013-01-11,173695,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"BRAKLEEN, AEROSOL CANS CRC 75089 **NO SUBS**",TERRITORIAL AUTO PARTS        ,$480.00,2013-01-07,173715,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, OIL",UAP INC                       ,$64.00,2012-08-27,172373,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
C5305X12 FTG. 11226/99002/1T,UAP INC                       ,$36.00,2012-08-27,172382,,15,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
RE522076 THERMOSTAT *P1* 15152/T56561/11 TK KLONDIKE,BRANDT TRACTOR LTD            ,$16.00,2012-08-27,172383,,16,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"IBFBC8375 COVER, SWITCH BX 07798/061658/6 MV DAWSON",CDACKLANDSWH,$8.00,2012-08-28,172386,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"20966091 LAMP, LH CAB MARKER 15105/T20700/3 JS DAWSON",KLONDIKE MOTORS INC O/A       ,$91.00,2012-10-15,172790,,9,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
84-2007 PLUG FEMALE DOUBLE 05277/99000/24,UAP INC                       ,$32.00,2012-10-15,172791,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
H42506-250R HOSE ( SPOOLED )05278/99002/24,UAP INC                       ,$500.00,2012-10-15,172792,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"BLADE, 24"" ACCU FIT WIPER HOOK TYPE",UAP INC                       ,$117.00,2012-10-15,172810,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"48477 CARRIER, E-BRK PAD 14956/T23189/13 TC OGILVIE",INLAND KENWORTH               ,$200.00,2012-11-16,173211,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, TRANSMISSION",INLAND KENWORTH               ,$113.00,2012-11-19,173232,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
50000 CHILD RESTRAINT INSERT 17707/43107/062395/1A,DYNAMIC SPECIALTY VEHICLES    ,$316.00,2012-11-20,173243,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
ROCK CHIP REPAIRS AS PER INV # 2673 13958/47551/061585/1A,JODY SHEA O/A                 ,$40.00,2012-07-10,171923,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
SWITCH 07798/061658/6 MV DAWSON,DAWSON HARDWARE LTD           ,$3.00,2012-07-10,171924,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
5670B SHIMS 5337/T23188/24,INLAND KENWORTH               ,$32.00,2012-05-04,171286,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
59602979 SENDER 9723/T25007/1HD,INLAND KENWORTH               ,$167.00,2012-05-04,171286,,13,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
FUSES (BOX OF 5),UAP INC                       ,$45.00,2012-07-10,171935,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"LAMP, 2"" AMBER CLEARANCE/MARKER",UAP INC                       ,$4.00,2012-05-08,171322,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
FILTER-AIR BREATHER. SEE IDL,UAP INC                       ,$6.00,2012-05-08,171323,,37,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
l24VU8012 DRAGLINK ASSY. 13798/T16254/12 TK,INLAND KENWORTH               ,$581.00,2012-06-01,171554,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"61141 TAP 5/16"" COARSE TAPER 07367/99000/6 JF",AJAX STEEL LIMITED            ,$60.00,2012-05-31,171562,,8,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"61181 TAP 7/16"" COARSE TAPER 07367/99000/6 JF",AJAX STEEL LIMITED            ,$72.00,2012-05-31,171562,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"61201 TAP 1/2"" COARSE TAPER 07367/99000/6 JF",AJAX STEEL LIMITED            ,$42.00,2012-05-31,171562,,11,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
DW1505 WINDSHIELD SUPPLY & INSTALL 13172/46191/061344/1A INV # 2605,JODY SHEA O/A                 ,$320.00,2012-06-04,171574,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
7502 OIL FILTER 13904/32004/T32004/1A,UAP INC                       ,$5.00,2012-06-04,171578,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
4003911 LEVER ROCKER ARM 11009/T15293/1HD,INLAND KENWORTH               ,$99.00,2012-07-11,171953,,14,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"BOLT, 1/2X7"" 75645/T53432/6 TC DAWSON",CDACKLANDSWH,$20.00,2012-07-11,171954,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,I,2012-13
RCD15-214 WINDSHIELD BUGWASH 10873/99000/23,CDACKLANDSWH,$32.00,2012-07-11,171956,,17,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"CYLINDER, TAILGATE LIFT",PRAIRIE HYDRAULIC EQUIPMENT   ,$630.00,2012-07-25,171957,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
A25600 VALVE BRAKE CONTROL 07173/T60802/15,PACESETTER TRADING COMPANY    ,$164.00,2012-07-13,171963,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
RLG12E STRAPS 13281/42119/061542/1A,AJAX STEEL LIMITED            ,$20.00,2012-07-16,171971,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"CAM124L CAM, LH BRK 07657/R12044/6 HM DAWSON",PACESETTER TRADING COMPANY    ,$72.00,2012-04-02,170985,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
B130 CV BOOT CLAMPS 14067/46117/061839/1A,SMEETON AUTOMOTIVE LTD        ,$8.00,2012-04-04,171004,,27,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
CUT KEY AS PER INV # 93015 17280/T20685/1A,LOCKSMITH SERVICES LTD        ,$32.00,2012-05-14,171353,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
14039587 FRONT PINION SEAL 12052/43058/060855/1A,KLONDIKE MOTORS INC O/A       ,$13.00,2012-05-10,171364,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
15105695 INSTRUMENT PANEL CLUSTER 12124/T20676/1A,KLONDIKE MOTORS INC O/A       ,$425.00,2012-05-10,171364,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
15959451 CLUTCH CABLE 2267MM 13157/49005/061219/1A,KLONDIKE MOTORS INC O/A       ,$224.00,2012-05-10,171364,,13,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
H42506 HOSE 87297/99002/19,UAP INC                       ,$100.00,2012-06-04,171582,,22,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"BALL VALVE, 1/2""",AJAX STEEL LIMITED            ,$35.00,2012-06-05,171591,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
73358 & 73359 WINDOW GLASS 11798/T23175/1HD ( INV. 6713 ),DON COX ENTERPRISES LTD O/A   ,$249.00,2012-07-18,171981,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
GL642RM ALTERNATOR CORE 11446/T20541/BST CREW,WHITEHORSE MOTORS LIMITED     ,$35.00,2012-07-17,171989,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
DY860 RELAY GLOW PLUG 03607/T18240/18,WHITEHORSE MOTORS LIMITED     ,$65.00,2012-07-17,171989,,12,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
19264717 FLUID TRANSMISSION 9077/99001/17,KLONDIKE MOTORS INC O/A       ,$60.00,2012-07-17,171992,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"HEATER, BLOCK",UAP INC                       ,$33.00,2012-04-03,171027,,14,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"GROMMET, 4"" ROUND LAMP",UAP INC                       ,$2.00,2012-04-03,171028,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"SIGN, RB-1 MAX. (OPEN) 60 X 75 CM",CDYKPUMP,"$2,232.00",2012-05-10,171374,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"320153331 (K467) KIT, GASKET 07658/T60800/6 HM DAWSON",FINNING INTERNATIONAL INC     ,"$3,136.00",2012-05-15,171387,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,I,2012-13
REPAIRS ASPER INVOICE# 838474 13267/46145/061359/1A,WHITEHORSE MOTORS LIMITED     ,$375.00,2012-06-06,171629,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
8R3Z4662A CRUSH SLEEVE 11525/20547/T20547/5,WHITEHORSE MOTORS LIMITED     ,$12.00,2012-06-06,171629,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, PRIMARY FUEL",INLAND KENWORTH               ,$92.00,2012-07-17,172018,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
CONNECTOR 07798/061658/6 MV DAWSON,EECOL ELECTRIC CORP           ,$10.00,2012-07-18,172022,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,I,2012-13
"SPROCKET, 2""ID SANDER DRIVE/IDLER",INLAND KENWORTH               ,"$2,124.00",2012-07-18,172024,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
AIR FILTER-SECONDARY.,UAP INC                       ,$19.00,2012-04-03,171029,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, ENGINE OIL UNITS 90065, AND 23701-23704",FINNING INTERNATIONAL INC     ,$156.00,2012-04-03,171035,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, FUEL",INLAND KENWORTH               ,$16.00,2012-04-03,171039,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"KIT, FRONT CRANKSHAFT SEAL, L10 M11",INLAND KENWORTH               ,$126.00,2012-04-03,171041,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
UNIVIS OIL 13134/40233/061193/1A,METRO CHRYSLER LTD            ,$9.00,2012-05-18,171446,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
3142689 SPREAD ROLL 3560/T27006/BST,INLAND KENWORTH               ,"$1,864.00",2012-06-07,171644,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
04U104 FTG. 07371/99002/6 JF,UAP INC                       ,$20.00,2012-06-08,171648,,21,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
DW1505 WINDSHIELD 15900/061655/46179/6 DAWSON,DON COX ENTERPRISES LTD O/A   ,$192.00,2012-07-26,172089,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
44620AA740 CATYLITIC CONVERTOR 13977/47578/061635/1A,CDWHHSUBARU,"$1,189.00",2012-07-27,172096,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
REPROGRAM KEYS AS PER INV # 839312 13286/40243/061682/1A,WHITEHORSE MOTORS LIMITED     ,$141.00,2012-07-27,172097,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"748636189 TIRE, LT245/75R17 SILENT ARMOR81940/T20668/SWEEPERCREW DAWSON",GOODYEAR CANADA INC           ,$259.00,2012-07-27,172098,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
FILTER-HYDRAULIC,UAP INC                       ,$4.00,2012-07-30,172117,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, SPIN ON FUEL",UAP INC                       ,$208.00,2012-07-30,172117,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"HANGER, SPRING MOUNT MUD FLAP DO NOT SUB WITH BETTS B25",INLAND KENWORTH               ,$162.00,2012-07-30,172123,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
11562588 OIL PAN DRAIN PLUG 10437/T20685/1A,KLONDIKE MOTORS INC O/A       ,$8.00,2012-04-05,171049,,16,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
06132 ELECTRICAL TAPE 12100/061014/1A,AJAX STEEL LIMITED            ,$16.00,2012-04-12,171050,,7,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
PFS12COSTD STEEL COUPLER 12266/T11255/1HD,CDNIS,$6.00,2012-04-05,171054,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"69510 RING, SNAP 73761/T23169/16 TK SREWART",INLAND KENWORTH               ,$13.00,2012-04-05,171057,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"PUMP KIT INCLUDES: FR1210G PUMP ASW 20' ARCTIC HOSE 221100 SWIVEL 220800 HOSE END 220900 HOSE END THESE ARE ""CUSTOM"" KITS FOR US FOR COLD CLIMATE",AJAX STEEL LIMITED            ,$696.00,2012-05-23,171463,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, PRIMARY AIR",UAP INC                       ,$26.00,2012-05-23,171475,,12,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"ANTIFREEZE, CUMMINS, PINK 6X4L CUMMINS BLUE IS ITEM 16594",INLAND KENWORTH               ,$250.00,2012-05-23,171483,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"WASHER,TIMBER GALVANIZED 66153/0214/24",CDNIS,$144.00,2012-06-11,171655,,3,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
WEL WB1C BUTANE 3563/99000/18,CDACKLANDSWH,$20.00,2012-06-11,171658,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
57Y02 LONG CAP 11901/99000/1WB,CDACKLANDSWH,$14.00,2012-06-11,171658,,16,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"TLHCLC5 CLAMP C 5"" 13463/T60800/6 EB",CDARCTICINBU,$36.00,2012-06-11,171660,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
341-633 BOLTS 10473/92121/061435/1C,TOTALTRAC YUKON (2012) INC    ,$10.00,2012-06-11,171661,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
7000208427 LH DOOR ASSY 10474/52712/061451/1C,TOTALTRAC YUKON (2012) INC    ,"$2,216.00",2012-06-11,171661,,16,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
SP432 SPARK PLUGS 13880/47528/061656/1A,WHITEHORSE MOTORS LIMITED     ,$48.00,2012-06-27,171664,,17,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
YH445 SWITCH-HEATER FAN 13884/LIONS/061678/1A,WHITEHORSE MOTORS LIMITED     ,$24.00,2012-06-27,171664,,20,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
FT113 TRANSMISSION FILTER 14113/45530/061712/1A,WHITEHORSE MOTORS LIMITED     ,$49.00,2012-06-27,171664,,25,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
VU02152 OIL TRANSMISSION ATF+4 15955/42090/061684/6 MARK V,METRO CHRYSLER LTD            ,$8.00,2012-08-01,172156,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
W701706S2 EXHAUST NUT 13246/T20667/1A,WHITEHORSE MOTORS LIMITED     ,$8.00,2012-08-02,172163,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
10385054 LH FOG LAMP ASSY 14124/48041/061742/1A,KLONDIKE MOTORS INC O/A       ,$139.00,2012-08-02,172164,,6,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
89019088 RESISTER 14157/46125/061786/1A,KLONDIKE MOTORS INC O/A       ,$66.00,2012-08-02,172164,,25,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"MST2836DATSC 2"" COUPLER 3"" SQ TUBING 83210/T59291/9",CDACKLANDSWH,$24.00,2012-08-02,172165,,13,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"BULB, HALOGEN H1",UAP INC                       ,$12.00,2012-04-11,171081,,2,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
AJH-50636 1/2 BRAZ CARB AR8 370 08362/MS,THOMAS SKINNER & SON LTD      ,$60.00,2012-05-23,171488,,5,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"ROAD SALT, 1.5 TONNE BAGS",CANADIAN LYNDEN TRANSPORT CO  ,"$40,320.00",2012-05-25,171503,,16,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
DL4744T WINDSHIELD 07664/T29252/6,JODY SHEA O/A                 ,$140.00,2012-05-29,171509,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
SIKA URETHANE 75628/46130/061235/6,JODY SHEA O/A                 ,$30.00,2012-05-29,171509,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
SEAL,PACESETTER TRADING COMPANY    ,$28.00,2012-06-12,171666,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
AIR FILTER PRIMARY,UAP INC                       ,$266.00,2012-06-12,171678,,1,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
"FILTER, AIR. SECON. FITS 23190-192",UAP INC                       ,$16.00,2012-06-12,171678,,10,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
FUSES (BOX OF 5),UAP INC                       ,$33.00,2012-06-12,171680,,4,,Highways & Public Works,Goods - Transportation Maintenance Branch Only,,Whitehorse,N,2012-13
